Jonatan De Amo;94:14;10140,68;6,06;3924,34;4174,61;1194,15;600,9;240,62;55;32,88;6,46;3311,04;247,79;16,04;23;4565,92;349,9;224,58;39;2263,85;3,22;0,0;2;PGE FKS Stal Mielec;https://www.transfermarkt.pl/jonathan-de-leon/profil/spieler/53785
Marcin Flis;94:14;9492,59;8,24;3929,26;3706,61;1215,59;359,47;273,42;37;33,61;6,04;2880,11;75,4;22,05;14;4584,14;283,03;251,37;32;2028,34;1,03;0,0;2;PGE FKS Stal Mielec;https://www.transfermarkt.pl/marcin-flis/profil/spieler/187973
Maciej Urbańczyk;94:14;11149,49;6,05;3321,89;5127,09;2231,59;429,57;33,3;26;28,57;7,1;3784,6;68,7;0,0;10;5281,26;348,36;33,3;22;2083,72;12,5;0,0;1;PGE FKS Stal Mielec;https://www.transfermarkt.pl/maciej-urbanczyk/profil/spieler/255423
Grzegorz Tomasiewicz;94:14;10505,21;5,04;3276,92;4977,6;1631,37;545,43;68,85;42;29,5;6,69;3466,09;121,81;0,0;13;4957,34;394,78;68,85;33;2081,83;28,85;0,0;2;PGE FKS Stal Mielec;https://www.transfermarkt.pl/grzegorz-tomasiewicz/profil/spieler/240458
Krystian Getinger;94:14;10137,51;8,29;4118,98;4021,63;1314,37;428,22;246,02;46;30,78;6,45;3169,33;169,07;105,06;26;4355,23;258,02;140,96;29;2612,95;0,0;0,0;0;PGE FKS Stal Mielec;https://www.transfermarkt.pl/krystian-getinger/profil/spieler/69516
Maksymilian Sitek (M);75:59;9418,74;6,11;3082,12;3771,65;1612,74;842,31;103,81;58;33,17;7,44;3181,02;396,89;0,0;31;3963,53;415,36;103,81;39;2274,17;30,06;0,0;2;PGE FKS Stal Mielec;https://www.transfermarkt.pl/maksymilian-sitek/profil/spieler/532428
Maciej Jankowski;94:14;10444,88;16,33;3583,78;4611,23;1590,34;625,96;17,24;53;26,69;6,65;3562,99;227,08;8,11;23;4861,85;398,88;9,13;36;2019,89;0,0;0,0;0;PGE FKS Stal Mielec;https://www.transfermarkt.pl/maciej-jankowski/profil/spieler/154076
Aleksandyr Kolew;66:49;7629,95;5,07;2841,41;2855,84;1199,83;569,68;158,12;55;31,5;6,85;2847,68;238,27;55,73;31;3336,18;303,28;102,39;36;1446,09;28,11;0,0;2;PGE FKS Stal Mielec;nie udało się znaleźć linku
Mateusz Mak;93:07;9907,8;8,41;3590,15;3753,04;1603,51;858,57;94,12;68;29,69;6,38;3387,45;284,13;18,56;26;4486,58;539,96;75,56;45;2033,75;35,56;0,0;6;PGE FKS Stal Mielec;https://www.transfermarkt.pl/mateusz-mak/profil/spieler/143975
Marcin Budziński;27:25;3306,76;1,02;1092,95;1242,07;587,83;314,0;68,89;28;31,18;7,24;1201,66;117,22;17,44;13;1330,07;196,79;51,45;17;774,99;0,0;0,0;0;PGE FKS Stal Mielec;https://www.transfermarkt.pl/marcin-budzinski/profil/spieler/82173
Mateusz Wyjadłowski (M);18:15;2064,41;0,0;651,07;923,03;264,41;177,01;48,89;20;30,17;6,79;762,22;49,68;27,12;9;740,08;127,32;21,77;13;562,02;0,0;0,0;0;PGE FKS Stal Mielec;https://www.transfermarkt.pl/mateusz-wyjadlowski/profil/spieler/453141
Albin Granlund;1:07;169,66;0,0;29,9;80,63;43,44;6,82;8,87;0;25,6;9,16;25,0;0,0;0,0;0;101,7;0,0;0,0;0;42,94;0,0;0,0;0;PGE FKS Stal Mielec;https://www.transfermarkt.pl/albin-granlund/profil/spieler/146907
Xavier Dziekoński (M);96:12;5477,42;14,63;4195,2;939,26;279,5;48,83;0,0;4;27,1;3,42;2091,51;28,63;0,0;2;1680,1;11,09;0,0;1;1705,81;9,11;0,0;1;Jagiellonia Białystok;https://www.transfermarkt.pl/xavier-dziekonski/profil/spieler/699400
Bojan Nastić;83:34;9759,86;3,02;2919,69;4206,79;1853,57;643,39;133,4;56;29,84;7,01;3603,76;311,31;102,19;38;3756,95;326,53;31,2;31;2399,18;5,56;0,0;2;Jagiellonia Białystok;https://www.transfermarkt.pl/bojan-nastic/profil/spieler/168943
Israel Puerto;96:12;9897,69;6,17;4145,09;3936,51;1343,65;408,26;58,01;32;29,4;6,17;3519,19;116,02;26,56;13;3764,42;289,93;31,45;28;2613,94;2,32;0,0;1;Jagiellonia Białystok;https://www.transfermarkt.pl/israel-puerto/profil/spieler/126748
